Australia	137077.26999999973
Austria	10154.319999999996
Bahrain	548.4000000000001
Belgium	40910.96000000007
Brazil	1143.6000000000004
Canada	3666.379999999999
Channel Islands	20086.28999999999
Cyprus	12946.290000000006
Czech Republic	707.72
Denmark	18768.139999999992
EIRE	250285.2199999993
Egypt	6994.249999999994
European Community	1291.7500000000005
Finland	22326.74
France	196712.83999999883
Germany	221698.20999999804
Greece	4710.519999999999
Iceland	4310.000000000002
Italy	16890.510000000002
Japan	35340.62
Lebanon	1693.88
Lithuania	1661.06
Malta	2505.4700000000007
Netherlands	284661.54000000074
Norway	35163.460000000036
Poland	7213.139999999999
Portugal	29059.810000000078
RSA	1002.31
Saudi Arabia	131.17000000000002
Singapore	9120.390000000012
Spain	54774.57999999988
Sweden	36595.91
Switzerland	55739.400000000096
USA	1730.9199999999998
United Arab Emirates	1902.2800000000002
United Kingdom	6767873.394003012
Unspecified	2667.0699999999997
